Community_ID,Community,Community_Type,Population,Latitude,Longitude,NTG_Region,Health centre,Police station,School,Regional council service centre,Community store,Internet,Mobile phone,WiFi,Accessible by road,Aerodrome
926,Payeperrentye (B),Family Outstation,2,-23.77074,133.55621,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
927,Perte Therre,Family Outstation,14,-23.75818,133.64573,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
133,Phillipson Bore,Family Outstation,6,-24.09593,134.43038,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
17626,Pine Creek,Village,373,-13.8227,131.8344,BIG RIVERS,1,1,1,1,1,1,1,0,1,0
861,Rutjingka,Family Outstation,4,-23.91581,132.81527,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
892,Sandy Bay,Family Outstation,2,-11.20719,132.58027,TOP END,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
18964,Ti Tree,Village,103,-22.1279,133.4171,CENTRAL AUSTRALIA,1,1,0.5,0.5,0.5,0.5,0.5,1,1,0.5
18974,Timber Creek,Village,326,-15.6625,130.4804,BIG RIVERS,1,1,1,1,1,1,1,0.5,1,1
149,Tjamangkurra,Family Outstation,6,-23.9689,132.80529,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
762,Tjintirtjintirpa,Family Outstation,0,-23.28522,131.27059,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
928,Tnerte,Family Outstation,18,-23.74715,133.72011,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
155,Tnyimipurta,Family Outstation,11,-23.88779,132.67113,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
929,Twetye (A),Family Outstation,6,-23.74034,133.70539,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
930,Twetye (B),Family Outstation,15,-23.74292,133.69633,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
931,Tywenpe (A),Family Outstation,20,-23.72634,133.72928,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
933,Tywenpe (C),Family Outstation,25,-23.74426,133.68787,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
934,Tywenpe (D),Family Outstation,6,-23.7648,133.67226,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
760,Ulambara,Family Outstation,6,-23.27715,131.92748,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
162,Ulpanyali,Family Outstation,13,-24.23091,131.50075,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
772,Ulpunda,Family Outstation,10,-23.9546,132.766,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
711,Undoolya Bore,Family Outstation,25,-23.74762,134.11762,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
908,Wakurlpu,Family Outstation,8,-20.63229,134.21688,BARKLY,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5
