Community_ID,Community,exit_number,road_name,fclass,osm_id,graph_node_x,graph_node_y,component_id_after_cut,component_size_after_cut,largest_outside_component_size,exit_status
72,Kintore,5,Tjunarriti Road,unclassified,189336566,-265499.39,-2511690.26,0,711099,711099,EXTERNAL_EXIT
72,Kintore,6,Kintore Road,tertiary,185819813,-264349.86,-2511306.89,0,711099,711099,EXTERNAL_EXIT
608,Kybrook Farm,1,Umbrawarra Road,unclassified,29251852,-20401.1,-1467547.24,0,711201,711201,EXTERNAL_EXIT
608,Kybrook Farm,2,Umbrawarra Road,unclassified,29251852,-19624.94,-1466148.98,0,711201,711201,EXTERNAL_EXIT
608,Kybrook Farm,3,Kybrook Farm Access Road,unclassified,591367295,-18715.23,-1466505.91,0,711201,711201,EXTERNAL_EXIT
609,Lajamanu,1,Lajamanu-Warrego Road,unclassified,188702780,-143018.36,-1960753.33,0,711060,711060,EXTERNAL_EXIT
609,Lajamanu,2,,unclassified,777980384,-144649.13,-1959602.06,0,711060,711060,EXTERNAL_EXIT
609,Lajamanu,3,,unclassified,188702781,-144696.6,-1959684.47,0,711060,711060,EXTERNAL_EXIT
609,Lajamanu,4,,residential,188702788,-143769.8,-1959142.54,79,28,711060,LOCAL_OR_DEAD_END
609,Lajamanu,5,Lajamanu Road,tertiary,49047815,-144805.35,-1960096.96,0,711060,711060,EXTERNAL_EXIT
609,Lajamanu,6,Lajamanu Road,tertiary,49047815,-144211.82,-1959227.04,0,711060,711060,EXTERNAL_EXIT
86,Laramba,1,Tillmouth Well-Napperby,track,1388496423,76100.13,-2426904.61,0,711099,711099,EXTERNAL_EXIT
86,Laramba,2,Rubbish Dump Access,track,1388496424,77330.18,-2427687.98,153,5,711099,LOCAL_OR_DEAD_END
86,Laramba,3,Laramba Road,unclassified,745748293,78043.97,-2426992.69,0,711099,711099,EXTERNAL_EXIT
86,Laramba,4,,unclassified,1388496427,78058.62,-2426934.19,0,711099,711099,EXTERNAL_EXIT
86,Laramba,5,Napperby,track,99019376,77250.84,-2425735.6,0,711099,711099,EXTERNAL_EXIT
86,Laramba,6,Napperby,unclassified,776156039,76463.62,-2425935.87,0,711099,711099,EXTERNAL_EXIT
86,Laramba,7,Napperby,service,776155364,77635.87,-2425887.55,0,711099,711099,EXTERNAL_EXIT
721,Likkaparta,1,,unclassified,451050843,265749.1,-2074761.81,0,711251,711251,EXTERNAL_EXIT
721,Likkaparta,2,,track_grade5,143376179,265820.06,-2072765.3,114,12,711251,LOCAL_OR_DEAD_END
362,Maningrida,1,,track,213563144,246150.36,-1272668.68,0,710684,710684,EXTERNAL_EXIT
362,Maningrida,2,,track,213563069,247833.72,-1271892.92,181,1,710684,LOCAL_OR_DEAD_END
362,Maningrida,3,,track,213563069,247835.76,-1271950.1,0,710684,710684,EXTERNAL_EXIT
362,Maningrida,4,,track,213563069,247836.14,-1271942.17,0,710684,710684,EXTERNAL_EXIT
