Community_ID,Community,exit_number,road_name,fclass,osm_id,graph_node_x,graph_node_y,component_id_after_cut,component_size_after_cut,largest_outside_component_size,exit_status
587,Bulman,3,,track_grade3,440865227,256549.51,-1448516.83,18,256,710892,LOCAL_OR_DEAD_END
587,Bulman,4,,track_grade3,440865226,256551.69,-1448514.42,126,10,710892,LOCAL_OR_DEAD_END
587,Bulman,5,Old Runway,track,440865225,256590.59,-1448468.47,126,10,710892,LOCAL_OR_DEAD_END
587,Bulman,6,Central Arnhem Highway,trunk,914602884,256797.96,-1447965.04,0,710892,710892,EXTERNAL_EXIT
219,Canteen Creek,1,,service,320734782,370568.5,-2221205.76,158,4,711186,LOCAL_OR_DEAD_END
219,Canteen Creek,2,,track,712538330,372253.93,-2220383.05,100,18,711186,LOCAL_OR_DEAD_END
219,Canteen Creek,3,Canteen Creek Road,unclassified,311344346,370569.95,-2220994.65,0,711186,711186,EXTERNAL_EXIT
591,Daguragu,1,,track,395935213,-126936.26,-1855525.01,0,711115,711115,EXTERNAL_EXIT
591,Daguragu,2,,unclassified,444577914,-127767.38,-1857303.57,0,711115,711115,EXTERNAL_EXIT
591,Daguragu,3,,unclassified,770376732,-126185.4,-1856468.87,0,711115,711115,EXTERNAL_EXIT
473,Dhalinybuy,1,,track_grade3,475277591,485988.31,-1318343.05,163,3,710993,LOCAL_OR_DEAD_END
473,Dhalinybuy,2,,track_grade3,475277594,486369.37,-1316706.33,26,168,710993,LOCAL_OR_DEAD_END
473,Dhalinybuy,3,Dhalinybuy Road,unclassified,444830833,486638.42,-1317243.21,0,710993,710993,EXTERNAL_EXIT
33,Engawala,1,,unclassified,1389719837,249563.41,-2458040.52,177,2,711135,LOCAL_OR_DEAD_END
33,Engawala,2,Pastoral Road,unclassified,1389719838,249299.99,-2459908.75,0,711135,711135,EXTERNAL_EXIT
33,Engawala,3,Cemetery Drive,track_grade2,446798746,249734.37,-2460019.88,0,711135,711135,EXTERNAL_EXIT
33,Engawala,4,Engawala Access,unclassified,1389719835,250594.16,-2459571.02,0,711135,711135,EXTERNAL_EXIT
36,Finke,1,,track_grade3,476916728,255579.47,-2769408.05,0,711136,711136,EXTERNAL_EXIT
36,Finke,2,Old Ghan Heritage Trail,track,1201085700,255633.57,-2769386.07,0,711136,711136,EXTERNAL_EXIT
36,Finke,3,,track,222316945,255245.86,-2769649.28,0,711136,711136,EXTERNAL_EXIT
36,Finke,4,Finke Road,tertiary,93976612,255618.77,-2771250.98,0,711136,711136,EXTERNAL_EXIT
36,Finke,5,,service,1201022886,256302.75,-2771268.25,174,2,711136,LOCAL_OR_DEAD_END
36,Finke,6,,tertiary,354811812,256142.77,-2771307.48,0,711136,711136,EXTERNAL_EXIT
498,Gan Gan,1,,track_grade5,447666816,433899.08,-1385573.14,68,45,711117,LOCAL_OR_DEAD_END
498,Gan Gan,2,,track_grade4,447666813,434471.91,-1383696.33,89,23,711117,LOCAL_OR_DEAD_END
498,Gan Gan,3,,unclassified,174685400,434956.38,-1383882.42,0,711117,711117,EXTERNAL_EXIT
500,Gapuwiyak,1,Gapuwiyak Road,tertiary,207544306,421632.6,-1325938.92,0,709587,709587,EXTERNAL_EXIT
500,Gapuwiyak,2,,track,1220373073,421513.49,-1326030.26,0,709587,709587,EXTERNAL_EXIT
500,Gapuwiyak,3,Rubbish Dump,service,776466755,421967.18,-1325243.89,41,96,709587,LOCAL_OR_DEAD_END
500,Gapuwiyak,4,,track,1220373109,421630.61,-1324442.68,51,71,709587,LOCAL_OR_DEAD_END
500,Gapuwiyak,5,,track,1220373107,421457.02,-1324319.29,51,71,709587,LOCAL_OR_DEAD_END
500,Gapuwiyak,6,Barge Landing Road,tertiary,1335603143,420233.41,-1324516.84,7,1333,709587,LOCAL_OR_DEAD_END
319,Gochan Jiny Jirra,1,,track,213565376,271512.85,-1288293.1,0,711271,711271,EXTERNAL_EXIT
319,Gochan Jiny Jirra,2,,track,213565347,273150.92,-1287776.45,167,2,711271,LOCAL_OR_DEAD_END
319,Gochan Jiny Jirra,3,,track,213565365,271834.54,-1287763.09,0,711271,711271,EXTERNAL_EXIT
329,Gunbalanya,1,Jabiru Oenpelli Road,tertiary,198378953,116038.56,-1300259.43,0,710904,710904,EXTERNAL_EXIT
329,Gunbalanya,2,,tertiary,241565361,116762,-1300905.33,0,710904,710904,EXTERNAL_EXIT
329,Gunbalanya,3,,unclassified,241565372,116275.24,-1300638.36,0,710904,710904,EXTERNAL_EXIT
329,Gunbalanya,4,,unclassified,1396715418,116008,-1300153.88,153,5,710904,LOCAL_OR_DEAD_END
329,Gunbalanya,5,,unclassified,1396715417,115994.68,-1300083.43,153,5,710904,LOCAL_OR_DEAD_END
514,Gunyangara,1,,track,1220020076,521285.29,-1298207.98,34,111,710821,LOCAL_OR_DEAD_END
514,Gunyangara,2,Dhabuynga Road,living_street,446277111,520881.87,-1297947.24,154,5,710821,LOCAL_OR_DEAD_END
514,Gunyangara,3,,track_grade1,446277097,521993.81,-1296340,0,710821,710821,EXTERNAL_EXIT
514,Gunyangara,4,Drimmie Head Road,tertiary,253529575,521960.29,-1296327.88,0,710821,710821,EXTERNAL_EXIT
514,Gunyangara,5,Drimmie Head Road,tertiary,253529575,521139.47,-1298145.68,34,111,710821,LOCAL_OR_DEAD_END
514,Gunyangara,6,,track,1220020058,521076.98,-1296418.41,83,27,710821,LOCAL_OR_DEAD_END
517,Gurrumuru,1,,unclassified,62278260,468410.55,-1337078.73,0,711107,711107,EXTERNAL_EXIT
517,Gurrumuru,2,,track,447980463,467150.22,-1335533.71,138,7,711107,LOCAL_OR_DEAD_END
517,Gurrumuru,3,,track_grade5,447980467,468617.37,-1335881.62,104,16,711107,LOCAL_OR_DEAD_END
517,Gurrumuru,4,,track_grade5,447980466,468652.87,-1335956.67,48,76,711107,LOCAL_OR_DEAD_END
41,Haasts Bluff,1,,unclassified,143126469,-12591.78,-2529537.04,0,711128,711128,EXTERNAL_EXIT
41,Haasts Bluff,2,,unclassified,215310464,-12685.77,-2529460.26,0,711128,711128,EXTERNAL_EXIT
41,Haasts Bluff,3,,service,456153323,-11903.14,-2529720.31,0,711128,711128,EXTERNAL_EXIT
41,Haasts Bluff,4,,service,777721201,-12243.42,-2529696.98,0,711128,711128,EXTERNAL_EXIT
41,Haasts Bluff,5,,track,215310440,-12852.96,-2529259.92,0,711128,711128,EXTERNAL_EXIT
