Community_ID,Community,exit_number,osm_id,road_name,fclass,graph_node_x,graph_node_y,status
362,Maningrida,10,1266055744,,residential,247834.79,-1271969.86,NEW NODE
362,Maningrida,11,1266055750,,track,247835.42,-1271927.51,NEW NODE
362,Maningrida,12,1274749461,,track,247823.37,-1271790.56,NEW NODE
362,Maningrida,13,1266055751,,track,247233.31,-1271025.21,NEW NODE
362,Maningrida,14,1266055751,,track,247267.13,-1271041.21,NEW NODE
362,Maningrida,15,1266055748,,track,247313.14,-1271063.68,NEW NODE
362,Maningrida,16,213563106,,track,247278.11,-1271046.4,NEW NODE
363,Manmoyi,1,355352500,,unclassified,234080.71,-1325592.55,NEW NODE
363,Manmoyi,2,355352500,,unclassified,232476.89,-1325407.82,NEW NODE
595,Manyallaluk,1,478476929,,track,91324.38,-1511731.5,NEW NODE
595,Manyallaluk,2,203879214,,unclassified,90719.98,-1512443.14,NEW NODE
595,Manyallaluk,3,449638359,,track,90371.44,-1510516.21,NEW NODE
595,Manyallaluk,4,475485701,,track,91330.56,-1511704.51,NEW NODE
524,Mapuru,1,453738208,,track_grade3,381962.37,-1297140.71,NEW NODE
524,Mapuru,2,447694295,,unclassified,381952.35,-1296586.44,NEW NODE
524,Mapuru,3,453709251,,track_grade4,380623.25,-1295955.45,NEW NODE
252,Marlinja,1,94231357,,track,149332.92,-1854459.5,NEW NODE
252,Marlinja,2,94231357,,track,149921.43,-1854280.66,NEW NODE
252,Marlinja,3,33723700,,unclassified,150143.86,-1854067.69,NEW NODE
252,Marlinja,4,33723700,,unclassified,150117.44,-1854101.77,NEW NODE
252,Marlinja,5,33723700,,unclassified,149977.29,-1854239.22,NEW NODE
252,Marlinja,6,453730269,Newcastle Waters Road,unclassified,150334.67,-1853634.43,NEW NODE
252,Marlinja,7,777690116,,unclassified,148803.82,-1852623.74,NEW NODE
624,Minyerri,1,224736956,Hodgson River Road,unclassified,225547.09,-1616735.01,NEW NODE
624,Minyerri,2,224736956,Hodgson River Road,unclassified,224596.44,-1618186.06,NEW NODE
624,Minyerri,3,327344852,,service,224491.56,-1617831.15,NEW NODE
112,Mount Liebig,1,399080181,,track,-74147.47,-2509510.93,NEW NODE
112,Mount Liebig,2,143122348,,track,-73936.9,-2509605.89,NEW NODE
112,Mount Liebig,3,769662021,,unclassified,-72944.17,-2509372.24,NEW NODE
112,Mount Liebig,4,143120750,,unclassified,-74619.17,-2508465.51,NEW NODE
112,Mount Liebig,5,189326475,,unclassified,-73194.58,-2507756.79,NEW NODE
112,Mount Liebig,6,189327444,,unclassified,-74607.1,-2508413.94,NEW NODE
112,Mount Liebig,7,189326465,Wattyawanu Road,unclassified,-73216.96,-2507746.2,NEW NODE
112,Mount Liebig,8,143122358,,track,-72861.85,-2508021.04,NEW NODE
112,Mount Liebig,9,215311922,,track,-74287.38,-2509411,NEW NODE
244,Mungkarta,1,770268090,,track_grade3,227751.35,-2184357.9,NEW NODE
244,Mungkarta,2,226561044,,residential,229237.18,-2183098.73,NEW NODE
120,Mutitjulu,1,777678482,,unclassified,-92491.49,-2743324.23,NEW NODE
120,Mutitjulu,2,32641778,,track,-93193.49,-2743330.24,NEW NODE
120,Mutitjulu,3,32641724,,track,-93596.15,-2743057.04,NEW NODE
120,Mutitjulu,4,32641695,,track,-93531.25,-2743123.37,NEW NODE
120,Mutitjulu,5,205190634,,track,-93824.4,-2742616.18,NEW NODE
120,Mutitjulu,6,32641828,,track,-91965.01,-2741928.99,NEW NODE
120,Mutitjulu,7,32640323,,unclassified,-92181.44,-2741650.78,NEW NODE
120,Mutitjulu,8,32641521,,unclassified,-93370.31,-2741538.88,NEW NODE
120,Mutitjulu,9,32640345,,track,-92343.24,-2741531.83,NEW NODE
397,Nauiyu,1,400814175,Twin Peaks Road,unclassified,-144294.99,-1456317.07,NEW NODE
397,Nauiyu,2,777685739,,track,-142691.45,-1455866.99,NEW NODE
397,Nauiyu,3,30128628,Nauiyu Road,unclassified,-142671.01,-1455792.38,NEW NODE
397,Nauiyu,4,175961401,Mango Farm Road,unclassified,-144136.34,-1454691.9,NEW NODE
397,Nauiyu,5,777674845,,unclassified,-144539.21,-1455120.16,NEW NODE
